"","ANNOVAR","pLI","mis_z","COUNT.x","MUTATIONCLASS.x","POLYPHEN2_D.x","POLYPHEN2_P.x","CADD.x","REVEL.x","MPC.x","gnomAD_genome_ALL.x","gnomAD_exome_ALL.x","dbscSNV_ADA_SCORE.x","dbscSNV_RF_SCORE.x","dpsi_zscore.x","COUNT.y","MUTATIONCLASS.y","POLYPHEN2_D.y","POLYPHEN2_P.y","CADD.y","REVEL.y","MPC.y","gnomAD_genome_ALL.y","gnomAD_exome_ALL.y","dbscSNV_ADA_SCORE.y","dbscSNV_RF_SCORE.y","dpsi_zscore.y","mut"
"12","AADACL3",0.011889,-0.34433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6106e-06
"13","AADACL4",0.0001543,-0.93573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22685e-06
"14","AADAT",0.14641,2.3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2509e-06
"15","AAED1",1.0063e-07,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6825e-07
"16","AAGAB",3.8664e-07,-0.87738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833e-06
"17","AAK1",1,2.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1203e-06
"18","AAMDC",2.2702e-06,-0.12731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0188e-06
"19","AAMP",0.76172,1.7512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06445e-06
"20","AANAT",0.002969,0.090903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5002e-06
"21","AAR2",8.3057e-06,0.85528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.883e-06
"22","AARD",0.3258,-0.3091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7545e-07
"23","AARS",1.8242e-08,0.051852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95728e-05
"24","AARS2",4.9777e-17,0.072469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54259e-05
"25","AARSD1",4.0653e-09,0.0092816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87695e-06
"26","AASDH",1.6629e-13,0.255,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1.04058310970446,-0.991358432299167,-0.720217846119404,0.26277308278406,-2.66488195634697,0,0,0,7.5606e-06
"27","AASDHPPT",0.033866,0.46164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30905e-06
"28","AASS",2.3101e-12,0.88222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.39039759628094,1.41045426734394,0.0830901566760974,0.26277308278406,0.356837512181396,0,0,0,1.178805e-05
"29","AATF",2.5958e-12,0.30226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6469e-06
"30","AATK",0.20634,0.53875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61939e-05
"31","ABAT",0.0063216,0.57296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158275e-05
"32","ABCA1",1.4525e-13,1.7544,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.2458045182111,0.868933665078267,0.541651250232574,0.52554616556812,0.713675024362792,0,0,0,5.15208e-05
"33","ABCA10",7.6593e-34,-0.055504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76237e-05
"34","ABCA12",2.922e-15,1.6348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41199e-05
"35","ABCA13",8.7753e-114,-1.5217,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.94731609336688,1.46871743845626,-0.948360916351336,-2.64947811893728,-3.52452883425796,0,0,0,5.30524e-05
"36","ABCA2",1,4.9116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2.40699536221341,1.90720068019212,0.894421775758691,0.78831924835218,1.04659652477005,0,0,0,6.78946e-05
"37","ABCA3",6.6226e-08,0.32326,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,-0.601740818337805,-0.234240060956249,-0.655734180586532,0.52554616556812,0.713675024362792,0,0,1,4.22695e-05
"38","ABCA4",5.3499e-48,-0.65813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94058e-05
"39","ABCA5",4.7803e-27,0.37404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52614e-05
"40","ABCA6",5.1099e-27,-0.49147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14186e-05
"41","ABCA7",2.1111e-55,-1.471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.938929750883649,1.16143689714683,-0.00196881281252103,0.26277308278406,0.356837512181396,0,0,1,5.49023e-05
"42","ABCA8",1.609e-52,-0.18814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02632e-05
"43","ABCA9",9.4911e-48,0.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2512e-05
"44","ABCB1",1.2564e-05,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75696e-05
"45","ABCB10",2.9084e-08,1.3514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33878e-05
"46","ABCB11",1.5612e-12,1.1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71464e-05
"47","ABCB4",2.2138e-07,1.9749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67081e-05
"48","ABCB5",1.5072e-37,-1.9827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6545e-05
"49","ABCB6",8.5999e-19,-0.13886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99374e-05
"50","ABCB7",0.99994,2.9037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59827e-05
"51","ABCB8",1.9164e-15,0.2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9559e-05
"52","ABCB9",0.00025164,1.0126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.39039759628094,1.22034423203217,0.323764963571511,0.26277308278406,-1.61174463585001,0,0,1,2.201855e-05
"53","ABCC1",0.0011727,1.7734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19268e-05
"54","ABCC10",1.2887e-26,0.65471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96498e-05
"55","ABCC11",3.9884e-46,-0.19701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29376e-05
"56","ABCC12",4.5659e-49,-0.092057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7157e-05
"57","ABCC2",5.2025e-47,-0.99478,1,0,1,0,1.32686547696937,1.42604722260989,-0.402398921827134,-3.75830506591933,-3.56634070710717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80316e-05
"58","ABCC3",1.2092e-26,0.62968,1,1,0,0,-1.07064193086713,-1.02516563600684,-0.752508524454021,0.279325173590795,0.394515562125128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.56354e-05
"59","ABCC4",1.0674e-07,1.7016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.723614316924943,1.21231141363871,0.217973291014937,0.26277308278406,0.356837512181396,0,0,0,3.07308e-05
"60","ABCC5",0.0041518,3.6041,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2.33627300632454,1.993528240162,1.44235836751275,-2.19874398023486,-1.96103163109379,0,0,0,3.3969e-05
"61","ABCC6",5.6167e-35,-1.0878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22855e-05
"62","ABCC8",7.9571e-24,1.914,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.674994702805235,0.395641543637433,-0.298177160260549,0.26277308278406,-2.60280797569866,0,0,1,4.49367e-05
"63","ABCC9",9.3524e-09,4.9694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85045e-05
"64","ABCD1",0.99896,1.8659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737075e-05
"65","ABCD2",4.7079e-06,2.3537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80377e-05
"66","ABCD3",0.0078364,2.5441,1,0,0,0,0.0632380431920121,0.620496792934325,0.0369455125132479,0.279325173590795,-2.94852245426461,0,0,0,1,0,0,0,-0.0216549109385801,0.97668207409736,0.0933017397671608,-1.32489932407254,-2.60260771641476,0,0,0,2.36397e-05
"67","ABCD4",1.3364e-12,0.1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75459e-05
"68","ABCE1",0.9738,4.1012,1,0,0,0,0.410171468090706,0.354638565318628,1.03922744932639,-2.04583780509008,-1.92657285838326,0,0,1,1,0,1,0,1.02922331996311,0.810670493965953,1.90165173005563,0.26277308278406,0.356837512181396,0,0,1,1.6687e-05
"69","ABCF1",1.2823e-09,2.5127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.39039759628094,0.197498689932205,1.47397721335493,0.26277308278406,0.331085569012535,0,0,0,3.58525e-06
"70","ABCF2",0.011301,2.4821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87364e-05
"71","ABCF3",1.5114e-05,0.65355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26973e-05
"72","ABCG1",0.11182,2.135,1,0,0,1,0.593510269866438,0.944843830625476,0.594190656523207,0.279325173590795,0.368042441791879,0,0,0,1,0,1,0,0.938929750883649,1.43455272252431,1.23690269630993,0.26277308278406,-0.491453810023978,0,0,0,1.312625e-05
"73","ABCG2",2.0957e-32,-0.88103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0047e-06
"74","ABCG4",3.8043e-07,2.2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70065e-06
"75","ABCG5",3.081e-21,-0.74377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5759e-06
"76","ABCG8",2.3838e-20,-2.4872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03925e-06
"77","ABHD1",3.3799e-25,-0.94849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9326e-06
"78","ABHD10",1.2865e-05,0.23316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01805e-06
"79","ABHD11",0.0029581,0.56684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.243e-06
"80","ABHD12",1.9476e-05,0.19453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1269e-06
"81","ABHD12B",3.7965e-15,-0.1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84825e-06
"82","ABHD13",0.8946,1.4728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83165e-06
"83","ABHD14A",6.4241e-06,0.32559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1287e-06
"84","ABHD14B",0.00014378,0.85202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81915e-06
"85","ABHD15",3.5459e-08,-0.10357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1039e-06
"86","ABHD16A",0.47336,2.4782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.469e-06
"87","ABHD16B",7.4371e-05,0.50876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83495e-06
"88","ABHD17A",0.018945,1.4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8737e-06
"89","ABHD17B",0.25442,2.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5704e-06
"90","ABHD17C",0.95762,3.1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54165e-06
"91","ABHD18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1135e-06
"92","ABHD2",0.68151,2.2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5566e-06
"93","ABHD3",1.6717e-09,0.56823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4727e-06
"94","ABHD4",2.2197e-08,0.70149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34675e-06
"95","ABHD5",6.4201e-07,0.47432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7284e-06
"96","ABHD6",2.2313e-05,0.76259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43455e-06
"97","ABHD8",0.97027,1.7991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95635e-06
"98","ABI1",0.63911,2.0949,1,1,0,0,-1.07064193086713,-1.02516563600684,-0.752508524454021,0.279325173590795,0.394515562125128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.29395e-06
"99","ABI2",0.43122,2.2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33405e-06
"100","ABI3",5.0089e-05,0.39596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74535e-06
"101","ABI3BP",1.0074e-08,0.82947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8967e-06
"102","ABL1",0.99998,2.5581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27172e-05
"103","ABL2",3.6365e-07,1.6853,1,0,1,0,1.00249682767384,1.36224124798212,2.10223994224999,0.279325173590795,0.394515562125128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32987e-05
"104","ABLIM1",0.9301,1.6153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08723e-05
"105","ABLIM2",0.0045858,0.16633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2213e-05
"106","ABLIM3",1.0625e-07,0.69581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12634e-05
"107","ABR",0.62738,3.8894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.39039759628094,1.57646584747535,2.0053173265674,0.26277308278406,-0.692117891751123,0,0,0,6.5391e-06
"108","ABRA",6.1508e-06,-0.15154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6189e-06
"109","ABRACL",0.24171,0.40665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.093e-07
"110","ABT1",0.020296,0.17351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41905e-06
"111","ABTB1",2.1295e-05,0.34463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.556e-06
"112","ABTB2",0.0046627,1.2261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5708e-06
"113","AC002310.13",0.18963,-0.5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9025e-07
"114","AC003002.4",0.0080575,-0.35385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5135e-07
"115","AC003002.6",0.3501,0.96157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.348e-07
"116","AC003006.7",0.0071661,-0.082643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4585e-07
"117","AC003043.1",0.31763,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.032e-08
"118","AC003101.1",0.00030547,0.63369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12525e-07
"119","AC004076.9",0.0014714,0.11999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.345e-07
"120","AC004381.6",2.7972e-11,1.5541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28075e-06
"121","AC004466.1",0.001452,0.091141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5615e-07
"122","AC005358.1",0.99303,0.5567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0272e-06
"123","AC006435.1",6.1673e-08,-0.42979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.879e-07
"124","AC006486.9",0.93701,2.1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5861e-06
"125","AC006538.4",0.13057,0.24194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05475e-07
"126","AC007040.11",0.004117,0.99296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37045e-06
"127","AC009065.1",6.7438e-06,0.24545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.362e-07
"128","AC009365.3",0.15063,0.61999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09e-07
"129","AC009802.1",0.3319,0.33835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86e-08
"130","AC010327.2",0,-0.85992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4845e-07
"131","AC010336.1",3.5917e-06,0.095686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38065e-06
"132","AC010441.1",1.4806e-05,0.0021414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.514e-07
"133","AC010646.3",0.075765,-0.083085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95075e-07
"134","AC011308.1",0.35252,0.11867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04075e-07
"135","AC011484.1",0,0.40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1495e-07
"136","AC011530.4",0.076414,0.19934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4035e-06
"137","AC011997.1",0.00013749,0.64966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3175e-07
"138","AC012123.1",0.018166,-0.48827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2115e-07
"139","AC018470.1",0.0083655,1.2284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2226e-06
"140","AC018816.3",5.7938e-05,0.14664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4515e-08
"141","AC018867.2",0.37315,0.64045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43025e-07
"142","AC019171.1",0.05505,1.1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.756e-07
"143","AC020922.1",0,0.67443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64e-08
"144","AC022400.2",0.29318,-0.76073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.739e-07
"145","AC022498.1",0,0.46626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.321e-07
"146","AC022532.1",0.064374,0.61936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39015e-06
"147","AC024592.12",0.023907,0.32259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21e-07
"148","AC026202.1",0.00096777,-0.98794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9035e-07
"149","AC026407.1",0.15094,0.24008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05425e-07
"150","AC026703.1",0,0.02851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3065e-07
"151","AC027763.2",0.17573,0.41349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50975e-07
"152","AC037199.1",0,0.060557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17975e-07
"153","AC037459.4",0.012737,-0.66462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3542e-06
"154","AC040977.1",0.047001,0.34649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3795e-07
"155","AC061992.1",0,-0.88296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.764e-07
"156","AC068533.7",4.0488e-10,0.76097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.604e-06
"157","AC069368.3",0.036709,0.45757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1162e-06
"158","AC073342.1",0,0.48395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3475e-07
"159","AC073569.1",0.30784,0.089627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21875e-08
"160","AC073610.5",0.69816,1.4764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29935e-06
"161","AC079210.1",0,0.64889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55775e-07
"162","AC079612.1",0.00020651,0.42467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24035e-06
"163","AC087645.1",0.20918,0.60856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6705e-07
"164","AC090616.2",0.3175,0.35968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97375e-07
